exp_num,env_num,item_num,x,y
2,22,2,72,-54
2,22,3,-38,-99
2,22,4,-12,-16
2,22,5,4,-175
2,22,6,94,-224
2,22,7,149,-170
2,22,8,214,-70
2,22,9,167,4
2,22,10,180,102
2,22,11,-62,23
2,22,12,-166,91
2,22,13,-78,126
2,22,14,-59,209
2,22,15,17,96
2,23,1,-70,-225
2,23,2,-20,-116
2,23,3,30,-147
2,23,4,105,-182
2,23,5,-26,-30
2,23,6,-15,-62
2,23,7,17,-70
2,23,8,33,-43
2,23,9,-62,44
2,23,10,28,92
2,23,11,41,35
2,23,12,94,81
2,23,13,129,21
2,23,14,156,-34
2,23,15,-43,167
2,24,1,-157,126
2,24,2,-145,107
2,24,3,-141,92
2,24,4,-131,81
2,24,5,-129,141
2,24,6,-121,121
2,24,7,-112,105
2,24,8,-109,88
2,24,9,-99,73
2,24,10,-99,127
2,24,11,-89,109
2,24,12,-85,93
2,24,13,-75,123
2,24,14,-70,103
2,24,15,-64,79
2,25,1,66,-42
2,25,2,-49,-48
2,25,3,-21,-169
2,25,4,-179,-117
2,25,5,-76,1
2,25,6,-140,44
2,25,7,143,55
2,25,8,26,141
2,25,9,-100,218
2,25,10,113,220
2,25,11,61,102
2,25,12,-36,128
2,25,13,1,13
2,25,14,59,-107
2,25,15,-6,-139
